"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42004.0","41639.0","",""
"Book Value per Share","12.478","12.158","12.189","11.758","11.419","11.183","11.232","10.822","10.46","6.772","6.067","",""
"Tangible Book Value per Share","25.861","24.313","23.888","22.405","21.72","20.624","19.962","19.907","19.143","15.248","12.902","",""
"FCF per Share","0.621","0.501","0.639","0.512","0.409","0.498","0.46","0.437","0.33","0.287","0.417","0.354",""
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8974","0.0","",""
"Cash per Share","1.0574","1.0308","1.3173","1.1342","1.6678","2.1242","1.1371","1.5397","2.1034","1.8071","1.3169","",""
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1325","0.0","",""
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0499","0.0","",""
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.45","1.471","1.525","1.547","1.541","1.53","1.516","1.572","1.567","1.322","1.298","",""
"Income Quality","2.2409","1.9557","2.3667","2.4799","2.1548","2.0219","1.9837","2.1661","2.0393","2.1333","2.2063","2.5812",""
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1192","0.1267","0.129","0.1375","0.142","0.149","0.1533","0.1287","0.1336","0.1526","0.1798","",""
"Selling, General and Administrative Expense of Revenue","0.1805","0.1691","0.1771","0.1852","0.1928","0.1824","0.1878","0.1957","0.1955","0.2054","0.28","0.1863","0.1891"
"Research and Development Expense of Revenue","0.074","0.0719","0.0721","0.0806","0.0789","0.0767","0.0814","0.0872","0.0879","0.0866","0.0438","0.1175","0.1114"
"Working Capital","8394000000.0","8139000000.0","8855000000.0","8545000000.0","8234000000.0","7606000000.0","7031000000.0","7482000000.0","7129000000.0","4282000000.0","3359000000.0","",""
"Tangible Asset Value","31085000000.0","29249000000.0","28833000000.0","27043000000.0","26281000000.0","25079000000.0","24454000000.0","24307000000.0","23316000000.0","18572000000.0","15715000000.0","",""
"Net Current Asset Value","6743000000.0","6558000000.0","7342000000.0","6997000000.0","6643000000.0","6096000000.0","5526000000.0","5872000000.0","5542000000.0","3896000000.0","2850000000.0","",""
"Invested Capital","11173000000.0","10723000000.0","10365000000.0","10058000000.0","9040000000.0","8134000000.0","9444000000.0","9355000000.0","8170000000.0","4181000000.0","2850000000.0","",""
"Average Receivables","14777500000.0","13755000000.0","13487500000.0","12741000000.0","12385500000.0","11881000000.0","11018500000.0","","","","","",""
"Average Payables","15576000000.0","14547500000.0","13880500000.0","13105000000.0","12839500000.0","11958500000.0","11429500000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
