"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.824","20.407","21.462","20.007","20.584","21.406","21.279","21.739","22.229","19.647","20.204","20.592","20.645","20.836","21.671","10.273","9.997","10.135","10.105","10.112","9.855","9.605","8.493","8.201","8.303","8.582","8.538","8.323","8.676","9.316","10.216","9.948","10.21","9.71","9.506","11.125","11.361","10.904","11.243"
"Tangible Book Value per Share","37.341","37.005","37.679","37.576","37.411","37.348","37.951","37.926","36.685","36.786","36.897","35.792","35.536","35.051","36.356","33.08","32.285","32.053","34.479","26.023","25.564","27.26","22.534","21.982","21.411","21.233","21.39","21.968","21.03","21.459","22.846","21.122","21.258","21.866","20.394","20.716","21.106","20.978","20.737"
"FCF per Share","0.513","0.509","0.619","0.49","0.832","0.731","0.758","0.404","0.74","0.756","0.571","0.687","0.615","0.661","0.572","0.51","0.463","0.585","0.31","0.263","0.232","0.341","0.375","0.082","0.323","0.261","0.405","0.353","0.382","0.17","0.39","0.321","0.393","0.284","0.21","-0.038","0.031","0.022","0.073"
"Interest Debt per Share","37.974","37.3941","34.5655","37.3054","36.8118","35.5105","36.4694","36.4552","33.4182","36.2779","35.8613","34.8172","34.8141","34.8558","36.2745","37.1091","37.0453","37.2246","39.9266","28.8317","28.8564","29.5562","24.5065","24.5955","23.8932","23.4578","23.6687","23.1236","23.2114","22.9957","22.8904","22.197","22.6612","23.4678","22.0576","22.1526","22.6624","22.6459","22.1581"
"Cash per Share","0.8713","0.8877","1.9657","0.8092","0.9908","0.9131","0.9291","0.9031","1.4459","1.1335","0.8986","1.1322","1.153","1.0977","1.2731","1.2961","0.9904","1.0317","3.4981","1.3489","1.2803","4.7476","1.1833","1.0605","1.0576","1.0897","1.1646","1.7861","1.5779","2.0011","3.4085","1.5924","1.8533","2.7049","1.0783","0.8748","1.0178","0.9956","0.8726"
"Debt to Equity Ratio","1.8235","1.8324","1.6106","1.8646","1.7884","1.6589","1.7139","1.6769","1.5034","1.8465","1.7749","1.6908","1.6863","1.6729","1.6739","3.6123","3.7055","3.6728","3.9511","2.8513","2.928","3.0772","2.8856","2.9989","2.8778","2.7335","2.7721","2.7782","2.6753","2.4684","2.2407","2.2312","2.2195","2.4168","2.3203","1.9912","1.9948","2.0768","1.9709"
"Total Debt To Total Assets","0.5653","0.5675","0.5368","0.568","0.5609","0.5464","0.5539","0.552","0.5298","0.5719","0.5638","0.5568","0.5597","0.5626","0.563","0.6922","0.7009","0.7049","0.7217","0.6582","0.6658","0.6945","0.653","0.6642","0.6563","0.6475","0.6475","0.621","0.6414","0.6281","0.6005","0.6071","0.6151","0.6242","0.6082","0.6011","0.6044","0.6042","0.5951"
"Interest Coverage","1.8228","1.9184","1.9955","1.796","1.6953","1.4092","1.7713","1.7698","9.5465","1.9027","2.0275","1.7429","1.2138","1.692","1.5539","1.5619","1.6342","1.2018","0.4811","1.5129","1.3283","1.4126","1.3888","1.4256","1.2896","1.3094","1.291","-0.1576","0.1507","-0.0731","1.1684","0.519","-0.509","1.0861","0.0792","0.6108","0.7748","0.8","-0.1605"
"Current Ratio","0.953","1.016","1.378","0.935","0.933","1.011","1.147","1.242","1.432","1.128","1.376","1.158","1.191","1.203","1.18","1.471","1.366","1.357","1.277","1.462","1.511","3.87","1.49","1.386","1.342","1.314","1.236","1.126","1.174","1.298","1.586","1.047","1.012","1.676","0.581","1.126","1.239","1.256","1.337"
"Income Quality","4.3529","3.7443","3.8293","4.4242","6.4018","11.8789","3.8683","4.0094","0.4078","4.0528","3.2776","4.461","15.6724","4.0031","-9.516","6.0834","5.2217","18.5374","-12.7198","4.7596","1.3975","3.422","4.2851","3.9204","6.0889","3.6625","5.4884","-1.1372","-1.5959","-0.6769","13.7172","-3.3717","-1.2982","21.9602","-2.4232","-3.4657","2.69","-3.6894","-1.5221"
"Payout Ratio","3.065","2.879","2.639","3.423","4.045","8.091","2.282","2.929","0.239","2.412","2.0","1.207","5.0","1.296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.4441","0.4384","0.4149","0.4279","0.4299","0.4254","0.4236","0.4257","0.4184","0.4201","0.4199","0.4276","0.4287","0.4342","0.4358","0.383","0.3892","0.393","0.3768","0.4059","0.4102","0.3594","0.3996","0.4063","0.4118","0.4139","0.4148","0.41","0.4189","0.4139","0.4007","0.4223","0.4229","0.4184","0.4377","0.4378","0.4371","0.4403","0.4431"
"Selling, General and Administrative Expense of Revenue","0.0941","0.0991","0.0892","0.0907","0.095","0.1044","0.092","0.0835","0.0813","0.0822","0.0757","0.073","0.0721","0.074","0.0654","0.0781","0.0746","0.0787","0.087","0.0899","0.0804","0.0924","0.0858","0.0835","0.0825","0.0897","0.0885","0.086","0.0889","0.0888","0.0882","0.0914","0.093","0.0909","0.0986","0.0974","0.1014","0.0944","0.103"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-46577000.0","14254000.0","363406000.0","-58063000.0","-58349000.0","8936000.0","125876000.0","199829000.0","337316000.0","105559000.0","350865000.0","133228000.0","151868000.0","143996000.0","136296000.0","320085000.0","235868000.0","227789000.0","343466000.0","245559000.0","249986000.0","1222167000.0","197046000.0","145446000.0","130369000.0","123342000.0","104260000.0","84514000.0","99752000.0","186693000.0","441928000.0","30589000.0","8744000.0","377681000.0","-349190000.0","56758000.0","103907000.0","110791000.0","125268000.0"
"Tangible Asset Value","13610454000.0","13352479000.0","13267344000.0","12684242000.0","12628436000.0","12480058000.0","12643500000.0","12631150000.0","12219536000.0","12239184000.0","12265240000.0","11897634000.0","11810241000.0","11638000000.0","11620617000.0","9605452000.0","9402133000.0","9330680000.0","10027056000.0","7566608000.0","7430263000.0","7766643000.0","6331524000.0","6199623000.0","6108228000.0","6093726000.0","6126304000.0","6285586000.0","6016122000.0","6189756000.0","6566380000.0","6055902000.0","6089473000.0","6251905000.0","5826440000.0","5874430000.0","5897683000.0","5859912000.0","5841344000.0"
"Net Current Asset Value","-15941980000.0","-15496913000.0","-13793216000.0","-14578331000.0","-14387152000.0","-13744375000.0","-13866500000.0","-13730970000.0","-12489833000.0","-13619170000.0","-13123052000.0","-12943320000.0","-12844877000.0","-12782731000.0","-12761050000.0","-11570479000.0","-11587627000.0","-11542459000.0","-11556121000.0","-9016238000.0","-8992568000.0","-7739981000.0","-7254048000.0","-7302473000.0","-7187541000.0","-7101314000.0","-7162809000.0","-7201591000.0","-6882208000.0","-6743445000.0","-6508834000.0","-6640985000.0","-6572340000.0","-6722417000.0","-6845963000.0","-6473351000.0","-6449831000.0","-6567007000.0","-6510169000.0"
"Invested Capital","26136231000.0","25622937000.0","23784985000.0","24106311000.0","23844219000.0","23228990000.0","23628549000.0","23647205000.0","22088971000.0","23110203000.0","22955247000.0","22249371000.0","22201410000.0","22138564000.0","22051810000.0","19324840000.0","19258030000.0","19228890000.0","19383138000.0","15025747000.0","14956102000.0","14409080000.0","12482629000.0","12460378000.0","12241189000.0","12120601000.0","12130767000.0","11720866000.0","11632585000.0","11618284000.0","11411765000.0","11318694000.0","11317385000.0","11629194000.0","10985599000.0","11457713000.0","11510432000.0","11475142000.0","11465259000.0"
"Average Receivables","1584113500.0","1592748500.0","1655447000.0","1602677000.0","1536332000.0","1578881000.0","1567535000.0","1569583000.0","1497260000.0","1480214500.0","1422143000.0","1400012500.0","1331593500.0","1257335500.0","1193286000.0","1106903500.0","1019452500.0","950092500.0","878006500.0","505196000.0","458736000.0","407209500.0","589788500.0","59981500.0","53073500.0","47468000.0","262823500.0","166168000.0","146189500.0","130479500.0","55851000.0","238416000.0","220991500.0","207154500.0","125381000.0","187645000.0","178993500.0","170995000.0","163110500.0"
"Average Payables","161004500.0","148163500.0","174072500.0","152970000.0","148495500.0","144234000.0","161013000.0","166067000.0","143219000.0","136973500.0","153893500.0","147399500.0","122344500.0","111963500.0","130694500.0","84031000.0","79219500.0","64391500.0","74027000.0","39014000.0","39485000.0","31070000.0","35852000.0","28877500.0","29382500.0","27501000.0","36351000.0","26261500.0","26699000.0","25453000.0","33430500.0","31008000.0","30238500.0","29256000.0","35587000.0","31614500.0","28337500.0","29944500.0","27955500.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
