"","42916.0","42825.0","42735.0","42613.0","42521.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0",""
"Book Value per Share","18.697","17.939","17.117","17.879","21.248","6.199","6.04","5.703","6.152","6.614","6.91","6.943","7.857","7.457","7.059","7.517","7.285","7.822","7.303","7.461","7.848","7.319","7.205","7.398","6.871","6.203","5.816","5.277","5.798","5.75","5.157","4.151","5.696","6.65","7.072","7.083","6.657","6.36",""
"Tangible Book Value per Share","21.114","20.383","24.538","20.678","26.426","23.752","24.436","28.043","15.504","18.592","18.36","14.942","14.087","17.416","13.659","11.019","10.236","12.38","11.315","10.65","9.808","10.046","10.037","13.925","12.153","7.951","7.088","7.751","7.313","10.395","9.646","4.936","4.254","4.147","4.091","4.859","4.257","4.149",""
"FCF per Share","-0.211","1.627","0.744","0.02","-2.53","1.421","-0.606","3.813","0.315","0.721","2.035","-0.599","-0.978","-0.816","2.84","-0.287","0.08","0.377","0.197","0.25","0.093","0.327","1.716","-3.847","-0.281","4.819","0.104","-0.815","0.784","-2.962","0.488","4.255","0.614","0.375","0.767","0.377","0.474","0.161","0.621"
"Interest Debt per Share","30.0372","30.721","31.4298","31.2683","37.8597","20.0254","17.5732","17.5501","15.3244","15.7585","15.1952","12.7675","10.5425","9.8877","9.2691","7.549","7.1321","6.9271","3.4469","3.3629","3.0377","3.2998","4.2991","3.9022","3.5729","3.3046","2.9035","3.0655","2.8083","2.8439","2.9948","1.2885","1.2083","1.2568","1.3221","0.0096","0.0071","0.0043",""
"Cash per Share","7.0865","8.289","7.5654","6.3645","8.0824","7.6103","6.168","4.8958","4.5493","4.7642","4.3696","4.0511","7.0463","7.524","4.8022","4.4632","4.3376","6.3278","5.348","4.9725","4.6946","4.9215","4.5058","8.4587","8.3301","4.1648","3.6474","4.7174","3.617","6.7304","6.6576","2.6553","2.4127","2.221","1.806","2.8665","2.4437","2.3027",""
"Debt to Equity Ratio","1.6065","1.7125","1.8362","1.7489","1.7818","3.2304","2.9093","3.0775","2.4911","2.3827","2.1992","1.8389","1.3419","1.3259","1.3131","1.0042","0.979","0.8856","0.472","0.4508","0.3871","0.4509","0.5966","0.5274","0.52","0.5327","0.4993","0.5809","0.4843","0.4946","0.5807","0.3104","0.2121","0.189","0.187","0.0014","0.0011","0.0007",""
"Total Debt To Total Assets","0.4563","0.4696","0.453","0.4692","0.4656","0.4882","0.4182","0.4036","0.5115","0.4694","0.4775","0.4563","0.4388","0.362","0.4004","0.3683","0.365","0.3187","0.1933","0.1966","0.1819","0.1977","0.2544","0.1865","0.1868","0.256","0.2411","0.2453","0.2312","0.1837","0.1984","0.1236","0.1344","0.1249","0.1239","0.0011","0.0008","0.0005",""
"Interest Coverage","2.6499","2.4803","3.6264","2.7004","1.8839","7.0607","8.5056","10.0062","10.3794","7.3742","11.0909","10.5833","8.927","5.7869","13.8611","13.1561","8.3639","12.5949","7.7747","21.152","1.4502","23.5116","18.8337","25.2028","18.6717","16.933","19.1556","16.3582","11.8184","17.6044","20.5546","21.1321","88.925","-37.5855","39.7549","36.6668","20.4387","27.9882","47.795"
"Current Ratio","1.199","1.146","1.093","1.158","1.173","1.171","1.149","1.091","1.282","1.208","1.27","1.356","2.229","1.309","1.522","1.725","1.702","1.436","1.278","1.491","1.497","1.474","1.542","1.279","1.268","1.532","1.585","1.44","1.661","1.322","1.216","1.77","2.004","1.86","1.793","2.835","3.128","2.697",""
"Income Quality","-0.3872","6.0223","1.8294","0.6602","-7.8794","3.4754","-0.7531","5.9252","1.1882","1.9203","3.8835","-0.8422","-2.3303","-1.7649","5.8848","-0.3587","0.8768","1.368","0.8003","1.4703","10.4937","1.5059","4.7697","-9.4707","-0.4015","16.619","0.8123","-2.1143","4.316","-9.6371","1.4119","12.0439","3.0404","-0.6395","2.7138","1.1781","2.1686","0.8621","2.9034"
"Payout Ratio","0.023","0.031","0.018","0.024","0.04","0.022","0.016","0.015","0.02","0.021","0.018","0.018","0.028","0.026","0.02","0.023","0.037","0.026","0.022","0.034","0.333","0.027","0.026","0.025","0.028","0.033","0.029","0.032","0.048","0.033","0.026","0.028","0.043","-0.015","0.033","0.028","0.038","0.038","0.042"
"Intangible Assets out of Total Assets","0.6792","0.6885","0.6463","0.6897","0.675","0.421","0.4185","0.3551","0.4825","0.4462","0.423","0.4659","0.4136","0.3623","0.41","0.4624","0.4761","0.4304","0.3655","0.3775","0.4126","0.3981","0.4061","0.3346","0.3647","0.3839","0.4113","0.3796","0.3978","0.3287","0.3609","0.5267","0.5269","0.5877","0.6166","0.4653","0.4896","0.4973",""
"Selling, General and Administrative Expense of Revenue","0.3754","0.3902","0.3787","0.4446","0.4621","0.4527","0.4549","0.4519","0.4936","0.4663","0.4525","0.4549","0.4817","0.4643","0.4637","0.463","0.4699","0.4695","0.4693","0.4767","0.4853","0.4629","0.4675","0.447","0.4621","0.4598","0.4649","0.4703","0.4735","0.4479","0.4288","0.4378","0.5795","0.4816","0.4287","0.4152","0.608","0.4284","0.4324"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","417607000.0","306318000.0","264050000.0","352657000.0","420606000.0","388176000.0","356802000.0","274727000.0","350450000.0","349122000.0","427227000.0","431826000.0","845253000.0","485303000.0","545248000.0","510378000.0","473034000.0","452450000.0","290935000.0","411454000.0","374129000.0","382986000.0","435192000.0","403611000.0","331794000.0","322673000.0","297258000.0","295793000.0","358575000.0","339085000.0","222783000.0","259011000.0","265705000.0","234394000.0","214358000.0","399658000.0","359714000.0","320893000.0",""
"Tangible Asset Value","3219598000.0","3102909000.0","3771464000.0","3176811000.0","3415839000.0","3084979000.0","3182473000.0","3727332000.0","2079337000.0","2514980000.0","2503717000.0","2146192000.0","2026334000.0","2538904000.0","2064678000.0","1679986000.0","1611615000.0","1953031000.0","1779976000.0","1673268000.0","1537156000.0","1573578000.0","1612659000.0","2229394000.0","1939065000.0","1266992000.0","1123585000.0","1265126000.0","1192141000.0","1684765000.0","1553640000.0","793607000.0","683384000.0","665185000.0","651675000.0","773135000.0","676671000.0","654831000.0",""
"Net Current Asset Value","-4516072000.0","-4684245000.0","-4769002000.0","-4747739000.0","-4781235000.0","-1746181000.0","-1808737000.0","-1625833000.0","-1483542000.0","-1494096000.0","-1262119000.0","-1242407000.0","-658751000.0","-691572000.0","-704733000.0","-623957000.0","-644124000.0","-564000000.0","-185591000.0","5939000.0","18732000.0","9819000.0","-25408000.0","-30881000.0","-116798000.0","-14188000.0","-66165000.0","-96873000.0","-34182000.0","-90130000.0","-251072000.0","-4013000.0","34312000.0","-4693000.0","-46174000.0","313045000.0","277283000.0","226707000.0",""
"Invested Capital","4620763000.0","4424867000.0","4587413000.0","4770619000.0","4834126000.0","2429858000.0","2277631000.0","2394101000.0","2281789000.0","2326099000.0","2400493000.0","2186509000.0","1841234000.0","1310470000.0","1695069000.0","1446332000.0","1377773000.0","1010112000.0","434958000.0","583084000.0","525120000.0","512154000.0","777062000.0","55509000.0","-57867000.0","523932000.0","497642000.0","323030000.0","517630000.0","2848000.0","-66101000.0","237672000.0","225194000.0","237933000.0","304225000.0","100850000.0","120272000.0","102989000.0",""
"Average Receivables","288282000.0","241373000.0","249180000.0","248778500.0","229945000.0","204186500.0","211262500.0","209160500.0","173607500.0","197040000.0","198566000.0","202987000.0","171452000.0","190337000.0","185345000.0","187291000.0","162179500.0","173945500.0","179704000.0","175722500.0","147852500.0","156971000.0","165074500.0","149967500.0","130581000.0","141399000.0","139127500.0","127959500.0","114222000.0","121899500.0","133646500.0","112485500.0","95650500.0","99550500.0","116206500.0","89944000.0","78651500.0","81574500.0",""
"Average Payables","759825000.0","566718000.0","554192000.0","514576000.0","490443000.0","306062500.0","276068000.0","308490500.0","263842000.0","269184500.0","236369500.0","276498000.0","235289500.0","239930000.0","262185000.0","289601500.0","220490000.0","225459500.0","259124000.0","278945500.0","206896000.0","192149500.0","199018500.0","207576500.0","188301000.0","173648000.0","176813500.0","176809000.0","164132000.0","160031000.0","164819500.0","163781000.0","138426500.0","137431500.0","139885500.0","134889500.0","119165500.0","120137000.0",""
"Average Inventory","0.0","0.0","0.0","0.0","2793500.0","4001000.0","2830000.0","3318000.0","6451000.0","8444000.0","6168500.0","8846500.0","9332000.0","11516500.0","9758000.0","10460500.0","11864500.0","12968500.0","11646500.0","8752000.0","11107000.0","9763500.0","8592500.0","8690000.0","10990000.0","10297500.0","10007000.0","7827000.0","9258000.0","9084000.0","9929500.0","4867500.0","5755000.0","5781000.0","5325500.0","3628000.0","4839500.0","5863500.0",""
